0 [123487931131840] INFO perfrun.launcher <> - Launcher main begin
1 [123487931131840] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [123487931131840] INFO perfrun.launcher <> - Launcher instance created
1 [123487931131840] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.4/bin64/advixe-runss --ui-output-format xml --ui-output-fd 207 --context-value-list 
24 [123487931131840] INFO perfrun.launcher <> - create msngr2::ICliToolContext
24 [123487931131840] INFO perfrun.launcher <> - create file finder object
27 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
27 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
27 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 0
27 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = true
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = true
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CATAvailable; value = true
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = L3CATDetails; value = COS=16;ways=16
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL2CATAvailable; value = false
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = true
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LLCSize; value = 0
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = cacheMonitoringUpscalingFactor; value = 64
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CacheOccupancyAvailable; value = true
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3TotalBWAvailable; value = true
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3LocalBWAvailable; value = true
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = true
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
28 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 6.17.0-14-generic
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = None
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 0
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPDriverAvailable; value = false
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPMICDriverAvailable; value = false
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isNMIWatchDogTimerRunning; value = false
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU_NAME; value = Unknown
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU; value = Unknown
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PMU; value = Unknown
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = platformType; value = 0
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = referenceFrequency; value = 4691393000
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
29 [123487931131840] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
29 [123487931131840] INFO perfrun.launcher <> - Application exit code: 0
29 [123487931131840] INFO perfrun.launcher <> - Exit code: 0
