0 [140074916460480] INFO perfrun.launcher <> - Launcher main begin
1 [140074916460480] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [140074916460480] INFO perfrun.launcher <> - Launcher instance created
1 [140074916460480] INFO perfrun.launcher <> - argc = 6; cmdline = /opt/intel/oneapi/advisor/2025.4/bin64/advixe-runss --ui-output-format xml --ui-output-fd 199 --context-value-list 
23 [140074916460480] INFO perfrun.launcher <> - create msngr2::ICliToolContext
23 [140074916460480] INFO perfrun.launcher <> - create file finder object
25 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
25 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
25 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 0
25 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
25 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
25 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = true
25 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = true
25 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CATAvailable; value = true
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = L3CATDetails; value = COS=16;ways=16
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL2CATAvailable; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = true
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LLCSize; value = 0
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = cacheMonitoringUpscalingFactor; value = 64
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CacheOccupancyAvailable; value = true
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3TotalBWAvailable; value = true
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3LocalBWAvailable; value = true
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = true
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 6.17.0-14-generic
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = None
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 0
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPDriverAvailable; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSEPMICDriverAvailable; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isNMIWatchDogTimerRunning; value = false
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU_NAME; value = Unknown
26 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = CPU; value = Unknown
27 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PMU; value = Unknown
27 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = platformType; value = 0
27 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = referenceFrequency; value = 3772385000
27 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
27 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
27 [140074916460480] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
27 [140074916460480] INFO perfrun.launcher <> - Application exit code: 0
27 [140074916460480] INFO perfrun.launcher <> - Exit code: 0
